,Job_id,company_id,Location,Designation,details_id
246,18834,5677,Bangalore,Principal Engineer,687
247,19763,2544,Mumbai,Jr. Architect,461
248,17716,7118,Chennai,Software Engineer,482
249,15740,4303,Bangalore,Power Electronics Firmware Engineer,186
250,17160,4771,Bangalore,Business Development,156
251,16674,1755,Bangalore,Business Analyst,545
252,17445,2665,Vadodara,Senior DevOps Engineer,766
253,19669,7087,Bangalore,PPC Engineer,240
254,10453,8562,Work From Home,Subject Matter Expert - Computer Science,110
255,18998,9168,Bangalore,Sales Development Representative - I,890
256,14462,9168,Bangalore,Sales Development Representative - I,125
257,16678,9168,Bangalore,Sales Development Representative,890
258,15793,9168,Bangalore,Sales Development Representative,125
259,10337,1862,Bangalore,Principal Engineer,201
260,12291,8788,Mumbai,Business Development Manager,142
261,13452,6188,Pune,Sr. DevOps Engineer,448
262,15013,5388,Bangalore,SDE 1 Backend,991
263,14658,7350,Gurgaon,Quality Assurance Engineer,366
264,18316,6736,Bangalore,C++ Developer,262
265,15315,8931,Mumbai,TAP Developer,632
266,18790,8931,Bangalore,TAP Developer,647
267,18391,5504,Bangalore,SDE 2 - iOS,668
268,12375,3849,Delhi,Executive - Corporate Sales,752
269,18383,2704,Noida,Sales Executive,929
270,10856,4364,Gurgaon,Solution Developer,801
271,13782,7173,Ahmedabad,Senior .NET MVC Developer,795
272,10662,4460,Mumbai,Copywriter,739
273,12689,1374,Bangalore,ASM,876
274,12283,1625,"Bangalore, Hyderabad",Lead Data Analyst,714
275,19645,7350,Gurgaon,PHP / Laravel Developer,638
276,16331,4465,Bangalore,Senior Copywriter,318
277,13746,7518,Mumbai,Credit Risk Partnerships,413
278,12471,2086,Dehradun,Node.js Developer,499
279,11601,4227,Bangalore,Staff Software Engineer,675
280,12183,2254,Delhi,Ecommerce Manager,419
281,13824,7249,Bangalore,Dot .NET Developer,658
282,18732,3044,Pune,Principal SDET,370
283,14555,4240,Chennai,Technical Lead SS24,188
284,10908,3596,Ahmedabad,Android Developer,299
285,15576,1148,Hyderabad,Engineering Manager (Dot .NET),350
286,11750,1148,Hyderabad,Principal Engineer (Dot .NET),233
287,11011,1148,Hyderabad,Principal Engineer (Dot .NET),799
288,19969,1148,Hyderabad,Senior Dot .NET Full Stack Developer,233
289,17273,1148,Hyderabad,Senior Dot .NET Full Stack Developer,799
290,19204,4765,Bangalore,Immigration Counsellor,107
291,11321,4227,Bangalore,Staff Software Engineer,793
292,18023,5583,Work From Home,Blockchain Developer,439
293,12339,8007,Bangalore,Data Engineer,745
294,15437,1235,Bangalore,Frontend Developer (Internship),988
295,13298,1111,Bangalore,QA Engineer - Automation,534
296,19381,3304,Bangalore,Non IT Recruiter,514
297,14465,3304,Bangalore,Public Relations,375
298,12789,3304,Bangalore,Social Media Manager,714
299,19855,6888,Hyderabad,BPO Pricing Analyst,664
300,16726,7060,Hyderabad,React.js Developer,488
301,14189,2488,Mumbai,Sales Manager - Real Estate,311
302,11548,9416,Bangalore,Software Developer / Project Leader,974
303,16048,1192,Bangalore,PE QA,529
304,15724,6507,Bangalore,Motion Graphic Designer,102
305,16843,6213,Hyderabad,Digital Marketing,111
306,13416,4060,Noida,Associate Java Full Stack Developer,565
307,18674,4060,Bangalore,Quality Analyst,534
308,19472,1733,Bangalore,Data Platform,723
309,16115,4980,Pune,Java Full Stack Developer,440
310,17492,4980,Bangalore,Software Developer,568
311,19156,9747,Work From Home,SFDC Developer,847
312,17356,2524,"Delhi, Work From Home",Python Developer,389
313,15893,4302,Bhopal,Vaadin Developer,389
314,16604,8931,Mumbai,SAP Analytics Cloud Consultant,928
315,13526,8931,Bangalore,SAP Analytics Cloud Consultant,132
316,16841,9506,Chennai,Software Automation Engineer,768
317,18987,7270,Hyderabad,Power BI Architect,886
318,13162,1790,Pune,Collibra Developer,621
319,16670,4060,Bangalore,Full Stack Developer,757
320,19632,5385,Bangalore,Software Development Manager - UI,691
321,13649,6796,Bangalore,Video Engineer,885
322,13687,6091,"Bangalore, Chennai, Jaipur",Golang Developer,678
323,13804,6127,Allahabad,Digital Marketing Executive,260
324,15362,6706,Bangalore,Senior Manager,493
325,11613,1790,Pune,DevOps With Calypso,141
326,14583,2137,Bangalore,Content Writer,408
327,13117,1144,Bangalore,GCP COE Lead,311
328,18885,5135,Bangalore,DevOps Engineer,595
329,11226,1094,Bangalore,Senior DATA Analyst,323
330,15495,1094,Chennai,Senior Data Engineer,873
331,16160,6542,Bangalore,Sr. Data Engineer,355
332,17883,6542,Bangalore,Sr. Data Engineer,445
333,12486,2427,Bangalore,Informatica IDQ Developer,625
334,17588,8844,Bangalore,Project Manger,537
335,13668,8201,Bangalore,Java Developer,269
336,17561,1192,Bangalore,Principal Engineer,385
337,15615,2698,Bangalore,Software Engineer - Python,429
338,10895,5947,Bangalore,Software Development Engineer I - Backend,307
339,11773,1144,Bangalore,Snowflake COE Lead,809
340,17020,7551,Bangalore,Admin Assistant,181
341,11385,3759,Pune,Software Developer,704
342,18659,9827,Gurgaon,Specialist - Partner Experience,215
343,10005,6817,Bangalore,Database Engineer,983
344,11770,6817,Bangalore,Senior Database Engineering Manager,885
345,12733,1575,Bangalore,Payroll Manager,381
346,16528,3377,Work From Home,Senior Software Engineer,580
347,15842,9802,Mumbai,Sales Associate,377
348,18474,9913,Mumbai,Mobile Application Testing,868
349,13481,7328,Gurgaon,ERP Manager,281
350,11736,1662,Hyderabad,Senior Graphic Designer,612
351,16883,9535,Bangalore,Staff / Sr. Staff Engineer,551
352,10236,4700,Bangalore,Cloud DevOps,748
353,12818,6091,Hyderabad,Data Engineer - Python,187
354,13053,5831,Pune,Fullstack Engineer,975
355,16070,1477,Pune,Teamcenter Installer,229
356,11947,6082,Hyderabad,Software Architect,715
357,17328,2981,Noida,Learning & Development Manager,519
358,17344,2745,Bangalore,Software Engineer,882
359,11460,6818,Bangalore,Customer Success Manager,747
360,11138,9800,Bangalore,Project Associate,426
361,13900,9800,Bangalore,Sales and Marketing Associate,240
362,13846,8159,Bangalore,Android Developer,227
363,19989,8497,Work From Home,Business Analyst,819
364,11807,8652,Bangalore,Video Editor - Kannada,761
365,15915,9279,Hyderabad,.NET Developer,737
366,19390,8198,Bangalore,Motion Graphic Lead,371
367,13643,6920,Gurgaon,Sales and Support,602
368,12060,3267,Mumbai,Product Engineering Lead,114
369,10115,3478,Work From Home,Account Executive,722
370,11136,1389,Work From Home,Software Engineer,515
371,12388,4899,Bangalore,SDET,382
372,11336,4309,Bangalore,Technical Lead,660
373,14254,3844,Bangalore,Architect Interior Designer,947
374,15726,3844,Bangalore,Architect Interior Designer,842
375,13199,3844,Bangalore,Interior Designer,947
376,10329,3844,Bangalore,Interior Designer,842
377,16375,9827,Mumbai,Creative Lead,916
378,16244,1553,Noida,Sr. Advanced Software Engineer,671
379,12900,3456,Work From Home,Software Development Engineer - 3,351
380,16485,6198,"Bangalore, Hyderabad, Work From Home",Software Engineer - .NET Backend,433
381,10943,1080,Hyderabad,Data Engineer,480
382,10288,4424,Bangalore,Engineering Director,751
383,17563,5500,Bangalore,Software Development Engineer - Backend,291
384,12500,5500,Bangalore,Software Engineer,797
385,16270,8936,Noida,Field Sales Executive,998
386,19137,9634,Bangalore,AWS Python Developer,577
387,14618,1682,Pune,Sahrepoint Powerapps Developer,649
388,15638,2819,Mumbai,Product Manager - Pharma,824
389,18743,2745,Bangalore,Software Engineer,315
390,15638,2924,Hyderabad,Wordpress Developer,710
391,11128,1192,Bangalore,Principle Engineer - Backend,448
392,11346,8025,Bangalore,Product Marketing Manager,803
393,15353,7233,Bangalore,Data Platform Engineer,884
394,15281,5246,Bangalore,Software Engineer - Backend Developer,667
395,17079,9877,Bangalore,Solution Architect,653
396,15188,7172,Bangalore,Senior Software Development Engineer - Data,679
397,19012,5455,Bangalore,Java Developer,537
398,10196,8931,Bangalore,SAP Treasury Consultant,714
399,15333,8931,Mumbai,SAP Treasury Consultant,312
400,18885,4104,Hyderabad,AI Developer,343
401,14832,1192,Bangalore,Principal Engineer - QA,946
402,12355,9396,Noida,PHP Developer,982
403,13356,1144,Bangalore,Databricks COE Lead,370
404,16965,1144,Bangalore,Presales Solution Architect,243
